evento_id,viaje_id,carro_modelo,autonomia_km,origen_nombre,destino_nombre,evento_nodo,evento_lat,evento_lon,bateria_pct,km_restantes,electro_id,electro_nombre,electro_nodo,electro_lat,electro_lon,dist_electro_km
630,9519,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Bucarica (Centro),1110493817,7.055364,-73.090779,19.44,36.9431,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,4.6629
631,9536,BYD DOLPHIN SURF 30 kWh Active,190.0,UNAB,UIS Campus Florida,599130228,7.088315,-73.098402,19.89,37.7936,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.5863
632,9553,BYD SEAL 82.5 kWh RWD Design,455.0,UTS (Unidades Tecnológicas de Santander),UIS Parque Tecnológico Guatiguará,1197396362,7.01608,-73.09602,19.96,90.8361,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10.0986
633,9557,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),PTAR Río Frío,798810652,7.072684,-73.106688,19.98,37.9693,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,0.4336
634,9576,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UNAB,5932171430,7.072952,-73.107178,20.0,37.9974,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.3755
635,9600,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Bucarica (Centro),1197337157,6.990712,-73.073719,19.9,37.8012,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.2089
636,9601,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,Sede Recreacional Catay,599017226,7.031482,-73.094704,19.98,90.9182,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,9.4467
637,9627,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UNAB,1197337231,6.994904,-73.078364,19.97,37.9377,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.9112
638,9645,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Bucarica (Centro),604120284,7.109473,-73.11664,19.97,37.9474,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,0.9206
639,9654,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,Sede Recreacional Catay,1103269614,6.97909,-73.048438,20.0,90.9777,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.5898
640,9671,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),Sede Recreacional Catay,7549830967,6.996385,-73.080053,19.99,37.9797,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,4.1696
641,9686,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,1903305838,7.086068,-73.100543,19.99,37.9795,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.1572
642,9705,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,PTAR Río Frío,1713199343,7.003515,-73.094738,19.9,90.5309,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,7.1595
643,9707,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,PTAR Río Frío,1197396610,7.010396,-73.096515,19.94,37.8943,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,9.4592
644,9721,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Florida,599017226,7.031482,-73.094704,19.66,37.3521,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,9.4467
645,9743,BYD DOLPHIN SURF 30 kWh Active,190.0,UNAB,Sede Recreacional Catay,4683668820,7.095272,-73.101655,19.99,37.9806,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.9076
646,9760,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,PTAR Río Frío,5388414967,6.979017,-73.048385,19.99,37.9878,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.5998
647,9766,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UIS Parque Tecnológico Guatiguará,2346415260,6.981525,-73.050516,19.99,90.9597,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.1354
648,9777,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,Sede Recreacional Catay,599130089,7.094357,-73.100796,19.96,37.9304,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.7653
649,9790,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UTS (Unidades Tecnológicas de Santander),599017179,7.036789,-73.089992,19.73,37.4912,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,8155
650,9808,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Bucarica (Centro),12207926179,7.100168,-73.111448,19.85,37.7203,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.2278
651,9813,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UTS (Unidades Tecnológicas de Santander),808787101,7.092049,-73.10942,19.98,90.9164,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.1592
652,9827,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,UIS Campus Bucarica (Centro),9651964952,7.083645,-73.107701,19.8,37.6279,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,3.0916
653,9845,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UNAB,599017179,7.036789,-73.089992,19.96,37.9232,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,8155
654,9861,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,UNAB,11126580666,6.994081,-73.077506,19.99,90.9322,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.7795
655,9869,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,1197338182,6.997524,-73.086822,19.23,36.5364,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,5.0408
656,9889,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Central,1110493817,7.055364,-73.090779,19.22,36.5138,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,4.6629
657,9905,BYD DOLPHIN SURF 30 kWh Active,190.0,CENFER,UIS Campus Bucarica (Centro),12956943944,7.092339,-73.124121,19.77,37.5647,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.9295
658,9920,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,Sede Recreacional Catay,599017167,7.03965,-73.090051,19.63,89.3185,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
659,9929,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,Sede Recreacional Catay,1070091680,6.981075,-73.049451,19.97,37.9417,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.4031
660,9947,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),UIS Parque Tecnológico Guatiguará,599130041,7.096469,-73.102398,19.99,37.9823,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.1309
661,9962,BYD SEAL 82.5 kWh RWD Design,455.0,CENFER,UIS Campus Florida,1903305838,7.086068,-73.100543,19.99,90973,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.1572
662,9963,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,Sede Recreacional Catay,1197395963,7.006195,-73.098684,19.77,37.5655,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,8.8647
663,9986,BYD DOLPHIN SURF 30 kWh Active,190.0,CENFER,UIS Parque Tecnológico Guatiguará,846985537,7.087311,-73.109483,19.99,37.9894,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.7064
664,10014,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Florida,UIS Campus Central,1110626364,7.063713,-73.094953,19.97,90.8658,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.1604
665,10015,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),UIS Parque Tecnológico Guatiguará,808301706,7.107678,-73.121998,19.97,37.9343,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,0.9323
666,10043,BYD DOLPHIN SURF 30 kWh Active,190.0,UNAB,Sede Recreacional Catay,1116178737,7.021783,-73.096085,19.88,37.7692,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10752
667,10056,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Florida,839092928,7.053999,-73.094293,19.93,37.8741,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,4.2365
668,10065,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Florida,UIS Parque Tecnológico Guatiguará,1116265256,7.025889,-73.097826,19.94,90714,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,10.2942
669,10083,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Bucarica (Centro),1713199343,7.003515,-73.094738,19.93,37.8691,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,7.1595
670,10104,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,1103269550,6.973801,-73.045775,19.99,90.9607,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,4254
671,10114,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),UIS Campus Central,604121336,7.109069,-73.117674,19.98,37.9618,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,0.7913
672,10140,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),UIS Campus Florida,602410037,7.112755,-73.114119,19.98,37.9693,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,1.0141
673,10148,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,839100985,7.07618,-73.103952,20.0,90.9909,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,0.9691
674,10165,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,PTAR Río Frío,1713199343,7.003515,-73.094738,19.01,36.1116,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,7.1595
675,10182,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,Sede Recreacional Catay,4084057181,6.975233,-73.046561,19.99,37.9739,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,4.0716
676,10202,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,Sede Recreacional Catay,1116265256,7.025889,-73.097826,19.84,90.2598,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,10.2942
677,10206,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,599017226,7.031482,-73.094704,19.96,37.9299,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,9.4467
678,10225,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),UIS Parque Tecnológico Guatiguará,599130228,7.088315,-73.098402,19.79,37.6023,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.5863
679,10256,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Bucarica (Centro),1110626615,7.058725,-73.10003,19.78,37.5794,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.9435
680,10267,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UNAB,599017226,7.031482,-73.094704,19.88,37.7689,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,9.4467
681,10284,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,UNAB,1197397036,7.013778,-73.09647,19.93,90.6946,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,9.8368
682,10299,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UIS Campus Central,1111034177,7.065402,-73.104281,19.98,37.9683,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,0.81
683,10327,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Central,4715418954,7.110434,-73.111776,20.0,37.9958,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,1.2972
684,10332,BYD SEAL 82.5 kWh RWD Design,455.0,UTS (Unidades Tecnológicas de Santander),UIS Parque Tecnológico Guatiguará,9391948647,6.99197,-73.067125,19.98,90.8947,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,2.4368
685,10343,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UNAB,1116265256,7.025889,-73.097826,19.78,37.5826,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,10.2942
686,10363,BYD DOLPHIN SURF 30 kWh Active,190.0,UNAB,Sede Recreacional Catay,5720990503,6.974714,-73.043798,19.94,37.8798,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,4.6899
687,10383,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),PTAR Río Frío,808301706,7.107678,-73.121998,19.96,37.9203,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,0.9323
688,10389,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,846907587,7.130514,-73.119669,19.99,90.9673,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,1934
689,10405,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,UIS Campus Central,6952664222,7.076241,-73.107875,19.94,37.8866,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,0.9892
690,10425,BYD DOLPHIN SURF 30 kWh Active,190.0,CENFER,UIS Campus Bucarica (Centro),846131587,7.08778,-73.135837,19.98,37963,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,4.3334
691,10429,BYD SEAL 82.5 kWh RWD Design,455.0,CENFER,UIS Parque Tecnológico Guatiguará,598408623,7.084618,-73.100723,20.0,90.9829,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.9821
692,10453,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),PTAR Río Frío,596532719,7.116702,-73.11922,19.93,37.8628,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,0.1514
693,10467,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Florida,UIS Parque Tecnológico Guatiguará,599017879,7.035109,-73.090036,19.88,90.4649,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,8.6948
694,10469,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UTS (Unidades Tecnológicas de Santander),1713199343,7.003515,-73.094738,19.62,37286,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,7.1595
695,10497,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,599017167,7.03965,-73.090051,18.58,35.3024,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
696,10514,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Bucarica (Centro),UIS Campus Central,1104754291,7.137112,-73.120237,19.98,90.9061,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,2.8337
697,10516,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,UTS (Unidades Tecnológicas de Santander),5929648001,7.064951,-73.096884,19.96,37.9297,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.9066
698,10546,BYD DOLPHIN SURF 30 kWh Active,190.0,Universidad Pontificia Bolivariana UPB,PTAR Río Frío,5932516723,7.061834,-73.119536,19.76,37.5506,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.9053
699,10547,BYD SEAL 82.5 kWh RWD Design,455.0,UTS (Unidades Tecnológicas de Santander),PTAR Río Frío,12843060715,7.107384,-73.123018,19.95,90.7542,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,1.0494
700,10570,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,599017167,7.03965,-73.090051,18.96,36.0149,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
701,10586,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),UIS Parque Tecnológico Guatiguará,1197396760,7.014397,-73.096343,19.97,37.9488,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,9907
702,10608,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Florida,Sede Recreacional Catay,1103818867,6.989826,-73.055011,20.0,90.9773,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,1.8105
703,10617,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,UNAB,5171693628,7.063526,-73.101744,19.73,37.4914,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.5741
704,10646,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),PTAR Río Frío,599130089,7.094357,-73.100796,19.98,37.9604,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.7653
