evento_id,viaje_id,carro_modelo,autonomia_km,origen_nombre,destino_nombre,evento_nodo,evento_lat,evento_lon,bateria_pct,km_restantes,electro_id,electro_nombre,electro_nodo,electro_lat,electro_lon,dist_electro_km
1,25,BYD SEAL 82.5 kWh RWD Design,455.0,UNAB,PTAR Río Frío,839092451,7.108547,-73.109685,20.0,90.9868,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.0445
2,49,BYD SEAL 82.5 kWh RWD Design,455.0,CENFER,UIS Parque Tecnológico Guatiguará,599017167,7.03965,-73.090051,19.32,87.9052,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
3,68,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UNAB,11126580666,6.994081,-73.077506,19.88,90.4719,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.7795
4,99,BYD SEAL 82.5 kWh RWD Design,455.0,Universidad Pontificia Bolivariana UPB,UTS (Unidades Tecnológicas de Santander),1143998335,7.091424,-73.106126,19.99,90.9454,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.1466
5,118,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,UTS (Unidades Tecnológicas de Santander),1197396610,7.010396,-73.096515,19.89,90.4948,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,9.4592
6,149,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,PTAR Río Frío,5171693628,7.063526,-73.101744,19.92,90.6389,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.5741
7,172,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Florida,UNAB,839091096,7.117483,-73.105373,19.96,90.8076,1,Centro Comercial Quinta Etapa,2746158992,7.115473864260488,-73.10771498564486,0.7098
8,202,BYD SEAL 82.5 kWh RWD Design,455.0,UTS (Unidades Tecnológicas de Santander),UIS Campus Florida,598394824,7.065627,-73.08741,19.94,90.7396,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,3.185
9,237,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Parque Tecnológico Guatiguará,UIS Campus Florida,11126580666,6.994081,-73.077506,19.95,90.7722,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.7795
10,265,BYD SEAL 82.5 kWh RWD Design,455.0,Universidad Pontificia Bolivariana UPB,UIS Campus Florida,9622508243,7.060092,-73.086972,19.98,90.9269,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,3.097
11,291,BYD SEAL 82.5 kWh RWD Design,455.0,UNAB,UIS Campus Florida,839095245,7.109799,-73.109226,19.99,90.9614,1,Centro Comercial Quinta Etapa,2746158992,7.115473864260488,-73.10771498564486,1.0647
12,317,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UTS (Unidades Tecnológicas de Santander),12207926179,7.100168,-73.111448,19.9,90.5263,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.2278
13,340,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Florida,UTS (Unidades Tecnológicas de Santander),9652032920,7.085711,-73.107633,19.98,90.9017,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.8617
14,366,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UIS Parque Tecnológico Guatiguará,2346415239,6.980715,-73.050242,19.99,90.9387,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,3.2304
15,389,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UNAB,599017179,7.036789,-73.089992,19.96,90.8267,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,8.155
16,407,BYD SEAL 82.5 kWh RWD Design,455.0,UNAB,Sede Recreacional Catay,1197396342,7.015433,-73.096161,20.0,90.9914,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10.0248
17,430,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UTS (Unidades Tecnológicas de Santander),1143998262,7.090855,-73.108967,19.99,90.971,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,2.1141
18,453,BYD SEAL 82.5 kWh RWD Design,455.0,UTS (Unidades Tecnológicas de Santander),Sede Recreacional Catay,1116178737,7.021783,-73.096085,19.95,90.7767,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10.752
19,484,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UNAB,1113648043,6.990723,-73.057506,20.0,90.9938,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,1.7739
20,505,BYD SEAL 82.5 kWh RWD Design,455.0,Sede Recreacional Catay,UIS Campus Florida,1197396610,7.010396,-73.096515,19.88,90.4576,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,9.4592
