vehiculo,gama,lat_actual,lon_actual,electrolinera,lat_electrolinera,lon_electrolinera,distancia_metros,bateria_al_recargar,nodos_recorridos
BYD SEAL 82.5 kWh RWD Design,alta,7.1101136,-73.1076006,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,724.97,0.1998,5534043
BYD SEAL 82.5 kWh RWD Design,alta,7.0288026,-73.0688204,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4050.49,0.199,5536947
BYD SEAL 82.5 kWh RWD Design,alta,6.9953481,-73.0521911,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2348.13,0.1999,5539743
BYD SEAL 82.5 kWh RWD Design,alta,7.0404178,-73.0754359,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5649.54,0.1998,5542526
BYD SEAL 82.5 kWh RWD Design,alta,6.9803144,-73.0491254,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,3495.01,0.1998,5545313
BYD SEAL 82.5 kWh RWD Design,alta,7.1026943,-73.1103891,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,928.08,0.2,5547927
BYD SEAL 82.5 kWh RWD Design,alta,7.0877803,-73.1358373,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,4338.54,0.1975,5550665
BYD SEAL 82.5 kWh RWD Design,alta,7.0049594,-73.0558503,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,842.61,0.1999,5553348
BYD SEAL 82.5 kWh RWD Design,alta,7.0685307,-73.1019666,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1217.39,0.1999,5555906
BYD SEAL 82.5 kWh RWD Design,alta,7.0477123,-73.0791249,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6576.81,0.1999,5558576
BYD SEAL 82.5 kWh RWD Design,alta,7.077493,-73.1246499,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,4306.84,0.1999,5561210
BYD SEAL 82.5 kWh RWD Design,alta,6.9999777,-73.0531346,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,1126.98,0.1999,5563913
BYD SEAL 82.5 kWh RWD Design,alta,7.0669472,-73.0996554,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1527.32,0.1997,5566660
BYD SEAL 82.5 kWh RWD Design,alta,7.134668,-73.1203428,Homecenter,7.115794947043329,-73.12049190407198,2401.99,0.1999,5569376
BYD SEAL 82.5 kWh RWD Design,alta,7.0547828,-73.0821469,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,3767.8,0.1995,5571924
BYD SEAL 82.5 kWh RWD Design,alta,7.0898942,-73.1086282,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,2227.44,0.1997,5574507
BYD SEAL 82.5 kWh RWD Design,alta,7.1121393,-73.1079222,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,496.58,0.2,5577117
BYD SEAL 82.5 kWh RWD Design,alta,7.0502268,-73.0814851,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6967.36,0.1999,5579891
BYD SEAL 82.5 kWh RWD Design,alta,7.0795249,-73.1239168,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,4065.39,0.1998,5582679
BYD SEAL 82.5 kWh RWD Design,alta,7.0253006,-73.064528,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4792.62,0.1989,5585506
BYD SEAL 82.5 kWh RWD Design,alta,7.0253006,-73.064528,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4792.62,0.1993,5588116
BYD SEAL 82.5 kWh RWD Design,alta,7.0618916,-73.0924912,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2325.64,0.1998,5590711
BYD SEAL 82.5 kWh RWD Design,alta,7.106488,-73.1209418,Éxito de la Rosita,7.113534997127967,-73.12309979445544,1005.36,0.1999,5593365
BYD SEAL 82.5 kWh RWD Design,alta,7.0401441,-73.0757255,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5614.54,0.1997,5596185
BYD SEAL 82.5 kWh RWD Design,alta,7.0840563,-73.1194232,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,3702.55,0.1999,5599021
BYD SEAL 82.5 kWh RWD Design,alta,7.037506,-73.0724986,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5939.31,0.1999,5601542
BYD SEAL 82.5 kWh RWD Design,alta,7.0268473,-73.0666326,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,3725.54,0.2,5604084
